ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_factor
600031.SH,20250808,20.1255,20.9739,20.1255,20.7569,20.37,0.67,3.2892,1659938.0,3488219.022,0.986545
600031.SH,20250811,20.747,20.826,20.6188,20.7174,21.04,-0.04,-0.1901,686485.87,1441087.35,0.986545
600031.SH,20250812,20.7076,20.747,20.53,20.5596,21.0,-0.16,-0.7619,482115.9,1007268.265,0.986545
600031.SH,20250813,20.5596,20.7273,20.4807,20.5497,20.84,-0.01,-0.048,652741.62,1360311.788,0.986545
600031.SH,20250814,20.5497,20.9641,20.4313,20.6188,20.83,0.07,0.3361,697076.76,1466793.275,0.986545
600031.SH,20250815,20.5399,20.9739,20.382,20.7174,20.9,0.1,0.4785,725016.58,1528585.83,0.986545
600031.SH,20250818,20.7964,20.8161,20.4215,20.4215,21.0,-0.3,-1.4286,943391.19,1966787.478,0.986545
600031.SH,20250819,20.4412,20.7076,19.8789,19.9479,20.7,-0.48,-2.3188,948609.38,1939605.361,0.986545
600031.SH,20250820,20.0071,20.5695,19.9282,20.5695,20.22,0.63,3.1157,780095.06,1601652.893,0.986545
600031.SH,20250821,20.7076,20.8556,20.5201,20.7174,20.85,0.15,0.7194,653994.74,1370773.485,0.986545
600031.SH,20250822,21.1121,21.339,20.9246,21.0134,21.0,0.3,1.4286,965285.29,2063955.613,0.986545
600031.SH,20250825,21.0331,21.339,20.9345,21.339,21.3,0.33,1.5493,962676.67,2062958.925,0.986545
600031.SH,20250826,21.339,21.4179,21.1121,21.2502,21.63,-0.09,-0.4161,583416.06,1259057.145,0.986545
600031.SH,20250827,21.2107,21.704,21.0134,21.0134,21.54,-0.24,-1.1142,908664.03,1967087.626,0.986545
600031.SH,20250828,20.9444,21.191,20.5991,20.9444,21.3,-0.07,-0.3286,805162.89,1708949.807,0.986545
600031.SH,20250829,21.1614,21.3291,20.7273,20.747,21.23,-0.2,-0.9421,993787.49,2107944.349,0.986545
600031.SH,20250901,20.9148,21.191,20.6188,20.8753,21.03,0.13,0.6182,993754.15,2100912.951,0.986545
600031.SH,20250902,20.895,21.0331,20.4313,20.6681,21.16,-0.21,-0.9924,654638.79,1372047.821,0.986545
600031.SH,20250903,20.6879,21.0923,20.2538,20.5201,20.95,-0.15,-0.716,578501.05,1206290.331,0.986545
600031.SH,20250904,20.382,20.4215,19.7309,19.9973,20.8,-0.53,-2.5481,874029.49,1773667.965,0.986545
600031.SH,20250905,20.0367,20.5695,19.9381,20.3919,20.27,0.4,1.9734,644124.98,1330103.072,0.986545
600031.SH,20250908,20.4018,20.7174,20.1354,20.6385,20.67,0.25,1.2095,763067.59,1582980.112,0.986545
600031.SH,20250909,20.5991,21.1614,20.4905,20.9937,20.92,0.36,1.7208,852322.01,1813252.458,0.986545
600031.SH,20250910,21.0726,21.1022,20.7766,20.8654,21.28,-0.13,-0.6109,397835.15,842063.304,0.986545
